label,file,stream,sni,packet_1,packet_2,packet_3,packet_4,packet_5,packet_6,packet_7,packet_8,packet_9,packet_10,packet_11,packet_12,packet_13,packet_14,packet_15,packet_16,packet_17,packet_18,packet_19,packet_20,packet_21,packet_22,packet_23,packet_24,packet_25,packet_26,packet_27,packet_28,packet_29,packet_30
www.yiz.vip,yiz.pcap,817,lf3-cdn-tos.bytegoofy.com,518,1460,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.12371.cn,12371.pcap,1361,p4.img.cctvpic.com,778,1460,890,93,819,274,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ghxi.com,ghxi.pcap,458,cn-tj-cm-02-06.bilivideo.com,580,1460,464,80,92,862,494,303,303,62,31,31,74,1460,207,493,521,1226,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
www.runoob.com,runoob.pcap,4967,c2shb.pubgw.yahoo.com,541,1460,638,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,314,iro.wzu.edu.cn,853,245,80,613,271,1460,569,612,1021,667,1460,1421,708,1460,1084,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ccf.org.cn,ccf.pcap,288,osfsr.lenovomm.com,203,1460,485,93,274,174,465,172,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,3558,ib.adnxs.com,772,1460,1203,93,99,538,274,78,831,38,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.freesion.com,freesion.pcap,1682,csm.sg1.as.criteo.net,828,238,64,92,564,301,64,31,268,267,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,4360,c61.cnki.net,787,245,80,1456,271,649,395,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.freesion.com,freesion.pcap,3107,rtb.mfadsrvr.com,517,1460,186,126,51,744,652,750,249,744,652,750,249,744,652,750,249,31,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,3360,kinesis.eu-west-1.amazonaws.com,615,93,6,649,160,47,512,360,58,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,3192,zxlzta.cnki.net,567,1460,528,80,1456,271,271,651,1460,10,1460,10,1460,10,1460,148,24,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,3291,p4.img.cctvpic.com,714,1460,890,93,717,274,513,946,715,453,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1456,715,452,1460,1460,1460,1460,1460,1224,715
www.cnki.net,cnki.pcap,7773,p.cnki.net,849,245,80,1456,271,1330,335,1153,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,21254,ldc.lenovo.com.cn,184,1460,963,93,274,246,1210,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,17733,ia.51.la,592,1452,1452,1407,93,1176,274,346,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
